,FCCY US Equity,SRCE US Equity,CAFD US Equity,AAON US Equity,ABAX US Equity,ANCX US Equity,ACET US Equity,ACNB US Equity,ATVI US Equity,ADTN US Equity,AEPI US Equity,ALCO US Equity,ALGT US Equity,AHGP US Equity,AMOT US Equity,AIMC US Equity,AMRK US Equity,DOX US Equity,ATAX US Equity,AMOV US Equity,AAL US Equity,AMNB US Equity,ANAT US Equity,ARII US Equity,AMSWA US Equity,ABCB US Equity,AMSF US Equity,ASRV US Equity,ATLO US Equity,AMGN US Equity,AFSI US Equity,ADI US Equity,ALOG US Equity,APOG US Equity,AAPL US Equity,AMAT US Equity,ARCB US Equity,AGII US Equity,ARKR US Equity,AROW US Equity,ARTNA US Equity,ASML US Equity,ASTE US Equity,ALOT US Equity,AAME US Equity,ATNI US Equity,ATRI US Equity,AUBN US Equity,ADP US Equity,BCOM US Equity,RILY US Equity,BEAV US Equity,BCPC US Equity,BWINA US Equity,BWINB US Equity,BANF US Equity,BKMU US Equity,BOCH US Equity,BMRC US Equity,BKSC US Equity,BOTJ US Equity,OZRK US Equity,BFIN US Equity,BWFG US Equity,BANR US Equity,BBSI US Equity,BSET US Equity,BCBP US Equity,BSF US Equity,BBGI US Equity,BBBY US Equity,BNCL US Equity,BGCP US Equity,BGFV US Equity,TECH US Equity,BLKB US Equity,BLMN US Equity,BHBK US Equity,BNCN US Equity,BOBE US Equity,BOKF US Equity,BPFH US Equity,BDGE US Equity,BRCD US Equity,BRKL US Equity,BRKR US Equity,BMTC US Equity,CFFI US Equity,CHRW US Equity,CA US Equity,CCMP US Equity,CLMS US Equity,CVGW US Equity,CFNB US Equity,CALM US Equity,CAC US Equity,CPHC US Equity,CPLA US Equity,CBF US Equity,CCBG US Equity,CPLP US Equity,CFFN US Equity,CFNL US Equity,CTRE US Equity,CARO US Equity,CASY US Equity,CASS US Equity,CATY US Equity,CBFV US Equity,CBOE US Equity,CDK US Equity,CDW US Equity,CSFL US Equity,CVCY US Equity,CNBKA US Equity,CHFN US Equity,CHFC US Equity,CHMG US Equity,PLCE US Equity,CLDC US Equity,HTHT US Equity,CHDN US Equity,CIFC US Equity,CINF US Equity,CTAS US Equity,CSCO US Equity,CTRN US Equity,CZNC US Equity,CZWI US Equity,CZFC US Equity,CIZN US Equity,CHCO US Equity,CIVB US Equity,CLRO US Equity,CSBK US Equity,CME US Equity,CCNE US Equity,COBZ US Equity,COKE US Equity,CVLY US Equity,CGNX US Equity,COHU US Equity,CLCT US Equity,CIGI US Equity,COLB US Equity,COLM US Equity,CMCO US Equity,CMCSA US Equity,CBSH US Equity,CUBN US Equity,CTBI US Equity,CWBC US Equity,CPSI US Equity,CDOR US Equity,CNMD US Equity,CTWS US Equity,CNOB US Equity,CNSL US Equity,CWCO US Equity,CORE US Equity,COST US Equity,ICBK US Equity,CBRL US Equity,CRWS US Equity,CSGS US Equity,CSPI US Equity,CSX US Equity,CVBF US Equity,DAKT US Equity,DGAS US Equity,DHXM US Equity,DRAD US Equity,DCOM US Equity,DNBF US Equity,DGICA US Equity,DGICB US Equity,DMLP US Equity,EBMT US Equity,EWBC US Equity,EML US Equity,EVBS US Equity,EBIX US Equity,EEI US Equity,EDUC US Equity,ESLT US Equity,ESBK US Equity,EMCI US Equity,EMCF US Equity,ERS US Equity,WIRE US Equity,EBTC US Equity,EFSC US Equity,ESCA US Equity,ESSA US Equity,EVOL US Equity,EXPE US Equity,EXPD US Equity,EXPO US Equity,FFKT US Equity,FMNB US Equity,FAST US Equity,FNHC US Equity,LION US Equity,FITB US Equity,FNGN US Equity,FISI US Equity,FBNC US Equity,FNLC US Equity,BUSE US Equity,FBIZ US Equity,FCAP US Equity,FCFS US Equity,FCNCA US Equity,FCBC US Equity,FCCO US Equity,FBNK US Equity,FDEF US Equity,FFBC US Equity,FFIN US Equity,THFF US Equity,FFNW US Equity,FGBI US Equity,INBK US Equity,FIBK US Equity,FRME US Equity,FMBH US Equity,FMBI US Equity
2014/10/1,9.161,25.7273,,17.27,51.35,16.5,18.79,19.43,20.59,20.215,36.97,37.86,121.01,67.42,13.57,28.78,10.49,45.52,5.92,24.718,34.39,22.1,113.5,69.51,8.77,21.95,39.1,3.23,21.63,138.82,20.115,48.25,65.2,39.08,99.18,20.96,35.41,41.2149,22.115,24.1671,19.87,96.85,36.02,13.2,4,53.565,295.01,,71.42,19.305,,58.8135,55.24,23.94,24.45,61.98,6.3,6.13,45.91,13.3636,,31.18,10.31,19,38.15,39.82,13.21,13.295,7.866,5.33,64.94,11.7374,7.35,9.43,92.82,39.14,18.12,13.18,15.56,46.14,65.83,12.38,23.31,10.82,8.56,18.73,28.13,33.01,65.19,27.13,41.63,11.49,43.73,14.84,43.9,23.24,10.22,61.68,24.02,13.01,9.9,11.82,17.12,14.1,,71.38,41.2,24.47,,53.44,31,30.36,10.28,11.47,34.34,10.71,26.62,28,48.34,,25.31,97.04,8.98,46.62,68.65,25.03,21.87,18.87,8.76,,19.18,42.02,10.1,8.386,12.54,79.4,15.72,11.35,74.13,17.4582,38.59,11.84,21.86,33.6925,24.76,35.42,21.65,52.93,38.2075,12.5,33.64,6.11,57.21,2.3,37.31,32.46,18.82,24.72,11.32,25.845,124.76,,102.28,7.33,26.44,7.81,31.09,14.26,12.18,19.6,,3.95,14.25,21.45,15.72,,29.92,10.6,33.65,15.6,6.19,13.8,9.69,4.31,62.23,21.9,19.12,25.4999,5.1782,36.52,18.44,16.68,11.88,11.31,8.99,84.78,39.74,35.11,22.73,7.99,44.52,26.64,13.55,19.795,32.54,22.51,16,16.75,16.65,21.955,23,55.58,210.31,14.39,10.61,14.5,27.1,15.8,27.53,30.99,10.11,,15.85,26.36,20.08,21,15.92
2014/10/2,9.1973,26.0182,,17.6,51.44,16.65,18.54,19.24,20.405,20.3,37.06,37.76,120.25,66.95,13.52,28.75,10.79,45.67,5.84,24.76,33.93,22.07,112.91,68.64,9.07,22.39,39.73,3.31,22.59,137.2,19.91,47.8,67.07,39.44,99.9,20.53,35.45,41.9669,22.34,24.367,20.19,96.93,36.48,13.2999,4,54.7,314.69,23.95,72.5,20.08,,58.0896,55.5,,24.77,62.85,6.4,6.15,46.08,13.3182,9,31.37,10.46,18.98,38.45,40.72,14.82,13.0237,8.19,5.41,65.1,11.8283,7.39,9.55,93.64,39.36,18.25,13.37,15.72,46.02,65.84,12.48,23.85,10.66,8.7,18.52,28.57,33.07,66.1,27.18,41.88,11.7,44.36,14.78,44.345,23.3533,10.2,61.83,24.15,13.48,9.79,11.95,17.25,14.14,10.6458,72.16,42.42,24.68,19.5,54.34,30.3,30.1,10.33,11.419,34.77,10.83,26.98,28.85,48.74,,25.51,98,9.14,46.84,68.29,25.06,22.05,19.17,8.76,,18.7601,42.42,10.37,8.39,12.57,80.42,16.03,11.51,73.87,,38.74,12.25,22.38,34.1511,24.86,36.64,21.94,52.84,38.4321,,34.09,6.01,58.51,2.26,37.68,32.78,18.58,24.88,11.78,26.215,125.79,,102.57,7.47,26.36,7.87,31.34,14.41,12.23,19.64,,3.95,14.39,21.45,15.8,23.05,29.06,,33.87,,6.1999,13.89,9.69,4.327,63.1,,19.8267,,5,36.73,19.4,16.74,12.49,11.34,8.94,83.37,40.19,35.715,22.6,8,45.475,28.01,13.59,19.79,32.4,22.76,16.23,16.74,17.04,22.14,23.4999,55.53,214,14.89,10.61,14.72,27.4,15.89,28.16,31.04,10.22,,15.81,26.5,20.37,21,16.06
2014/10/3,9.3424,26.0909,,17.82,50.96,16.92,18.65,19.15,20.71,18.81,38.66,37.72,122.08,67.12,13.39,27.63,11,46,5.87,24.87,36.23,22.09,114.04,68.63,9.06,22.41,39.6,3.27,22.77,139.15,20.13,47.58,68.64,39.43,99.62,20.74,35.93,42.719,22.3296,24.4527,20.22,97.45,36.64,13.11,4,55.15,311.94,24,74.85,19.76,8,59.1827,55.19,23.7,25.03,62.96,6.47,6.07,46.44,13.87,,31.65,10.6,19.82,38.9,41.44,15.81,13.17,8.0145,5.42,65.96,11.8283,7.49,9.5,94.22,39.33,18.57,13.35,15.8,46.57,66.7,12.74,23.94,10.61,8.72,19.23,28.83,33.17,67.24,27.46,42.24,11.74,45.14,14.8,46.155,23.4933,10.19,61.91,24.18,13.4,9.83,12.02,17.29,14.09,,73.49,42.3,24.91,19.5,54.49,29.56,30.72,10.53,11.3,35,10.87,26.91,28.06,49.87,,25.59,98.98,9.07,47.63,70.34,25.31,22.3,19.39,8.8,,18.708,42.53,10.27,8.39,12.59,80.95,16.1,11.73,76.06,17.7087,39.45,12.35,22.67,34.3476,25.36,36.88,21.86,53.65,38.7949,,34.27,6.1,59.75,2.3,37.68,32.92,18.66,25.02,11.46,26.1,127.09,,104.49,7.51,26.36,7.6609,31.93,14.53,12.24,19.67,,3.92,14.37,21.45,15.79,,28.4,10.6999,34.24,15.51,6.2,13.82,,4.41,63.01,22.25,19.9467,,5.08,36.44,19.51,16.69,12.48,11.3,9.07,85.47,40.385,35.97,22.49,8,45.76,29.09,13.74,20.05,32.65,22.9,16.17,16.86,17.01,22.25,,55.55,216.92,14.83,10.61,14.78,27.27,15.91,28.23,31.34,10.22,,16.4,26.97,20.51,21.29,16.08
2014/10/6,9.3515,26.0455,,17.42,49.69,16.9,18.63,19.39,20.64,19.21,38.86,37.83,118.91,67.2,13.33,28.03,11.15,45.87,5.8,25.05,34.93,22.24,113.15,67.01,9.05,22.37,39.42,3.28,22.84,137.61,20.53,47.145,69.27,39.19,99.62,20.6,36,42.1405,22.065,24.4432,19.99,97.94,36.28,,,55.13,302.21,24,74.52,20.4946,8,59.7474,55,,24.86,62.88,6.37,6.07,45.91,13.6364,9,31.325,10.6,19.71,38.26,41.43,15.59,13.01,8.0955,5.43,66.11,11.8329,7.5,9.555,93.23,39.34,18.15,13.27,15.83,46.71,65.8,12.57,24.05,10.385,8.63,19.78,28.99,33.36,66.73,27.43,42.04,11.64,44.73,14.78,47.73,23.6133,10.61,60.25,24.025,13.53,9.82,11.98,17.03,14,,73.69,42.03,24.83,19.75,54.42,29.42,30.57,10.59,10.91,35.02,10.75,26.84,28.2,48.61,,25.61,98.02,9.13,47.46,69.9,25.01,21.47,19.29,8.8,,19.1799,42.37,10.49,8.13,12.53,81.35,16.16,11.51,76.06,17.7475,38.66,11.91,22.65,34.5703,25.075,36.45,21.87,53.39,38.5099,,33.86,6,60.72,2.26,38.01,32.37,18.42,24.92,11.6,25.62,126.21,,103.79,7.6,26.3,7.93,32.07,14.29,12.135,19.72,,3.87,14.22,21.26,15.56,,27.82,10.65,33.87,15.57,6.12,13.685,9.67,4.39,62.6,,20.02,25.1,5.13,36.08,19.5,16.6,12.47,11.35,9.19,86.57,40.38,35.645,22.59,7.95,45.975,29.17,13.57,19.92,32.91,22.87,16.02,16.88,16.68,22.41,,55.22,215.62,15.09,10.6,14.54,27.27,15.83,27.99,31.33,10.17,,16.39,26.71,20.43,21.3201,15.85
2014/10/7,9.3968,25.8182,,17.01,47.57,16.64,18.29,19.16,20.13,18.81,37.81,37.31,116.29,66.39,12.94,27.25,10.85,45.35,5.78,25.01,34.09,21.95,113.42,64.59,8.85,22.3,38.75,3.13,22.39,136.03,20.58,46.21,69.51,38.39,98.75,20.37,34.34,41.8099,22,24.1767,19.93,94.86,35.2,12.88,4,54.92,295,23.98,73.52,20.75,7.5,58.1258,54,23.35,24.31,61.61,6.25,6.031,45.85,13.2073,,30.59,10.6,19.72,38.3,40.1,15.76,12.73,8.118,5.4,65.98,11.6192,7.37,9.47,91.54,38.19,17.875,13.2,15.53,45.47,65.39,12.4,23.62,10.23,8.62,19.28,28.57,33.24,65.43,26.81,41.43,11.62,44.45,14.79,47.38,23.5467,10.19,59.91,23.74,13.31,9.42,11.95,16.86,13.86,10.625,73.8,40.96,24.125,19.25,53.86,27.5,30.14,10.34,10.85,34.74,10.71,26.33,28.1,48.12,,25.37,97.03,9.01,46.77,68.72,24.635,21.1,19.21,8.85,,18.61,41.88,10.355,8.1,12.51,79.75,16.02,11.41,75.75,17.9246,37.98,11.56,22.44,34.6948,24.61,35.9,20.59,53.22,37.7843,,33.88,6.036,59.89,2.29,38.26,32.43,18.17,24.75,11.48,25.335,125.27,,102.15,7.57,26,7.89,31.1,13.96,11.98,19.6,,3.84,14.05,21.601,15.57,,28.14,10.65,33.25,15.44,6.1101,13.33,9.67,,62.35,,19.7667,,5.0899,35.33,19.25,16.42,12.2,11.21,9.19,84.73,39.38,35.465,22.5,8.01,44.81,29.14,13.61,19.66,31.41,22.48,16,16.82,16.53,22.25,,53.97,212.8,14.65,10.62,14.4,27.06,15.66,27.57,31.23,10.1,,16.43,26.25,20.21,21.3201,15.51
2014/10/8,9.4966,26.3091,,17.27,47.87,16.51,18.78,19.0798,20.64,19.43,38.95,37.79,110.75,64.62,12.88,28.14,10.87,45.89,5.8,24.92,33,22.52,114.82,65.11,9.04,22.69,39.68,3.2,22.94,140.07,20.99,47.75,69.51,38.72,100.8,21.15,35.23,42.7025,21.96,24.6335,20.36,96.33,36.28,12.99,4,56.39,307.31,,74.78,21.09,,58.828,55.01,23.43,24.72,63.05,6.44,6.051,46.52,13.1182,9,31.26,10.92,18.97,39.08,41.89,15.42,12.65,8.073,5.425,66.84,11.9556,7.53,9.45,92.35,38.41,18.53,13.33,15.87,46.66,66.2,12.63,24.46,10.37,8.83,19.49,29.38,33.56,66.28,27.05,42.14,12.14,44.99,14.79,47.98,23.7667,9.6,61.86,24.04,13.83,8.93,12.19,17.23,13.84,,75.28,41.75,24.69,19.25,55.38,27.82,30.16,10.56,10.79,35.96,10.84,26.8,28.02,48.54,,25.88,98.62,9.04,47.59,70.98,24.66,21.31,19.8,8.8,11.55,18.57,43.38,10.34,7.915,12.75,81.16,16.57,11.7,78.69,,38.8,11.66,22.92,35.1992,25.34,35.97,21.39,54.77,38.1989,,34.84,6.04,61.69,2.28,39.69,33.24,18.46,25.37,11.63,25.93,128.73,,103.2,7.56,26.49,7.95,31.49,14.27,12.29,19.78,,3.91,14.46,21.351,15.785,,27.16,10.67,33.75,15.78,6.12,13.54,9.93,4.4201,62.92,,20.3067,25.9899,5.08,35.78,19.8,16.96,12.4,11.31,9.01,85.38,39.46,36.57,22.49,8,45.82,30.41,13.66,20.1,33.38,23.3,16.24,17.15,17.1,22.48,23.45,54.63,215.71,15.33,10.6,14.85,27.27,15.83,28.33,31.87,10.26,,16.65,26.71,20.79,,15.93
2014/10/9,9.3424,25.7182,,16.97,47.64,16.2,18.29,19.1,20.08,18.77,37.52,37.08,109.51,63.28,12.31,27.65,10.66,45.35,5.72,24.73,31.98,22,113.19,61.09,8.82,22.18,39.42,3.22,22.3,137.58,20.905,46.34,69.27,37.52,101.02,20.87,33.28,42.0165,21.97,24.1196,20.22,94.33,35,,3.9999,55.17,288.5,24.02,73.19,21.09,,56.4028,52.45,23.55,24.36,62.57,6.32,6.08,46.03,13.3206,9,30.28,10.71,18.94,38.1,39.96,15.62,12.6,8.109,5.43,66.32,11.6465,7.27,9.27,90.53,37.86,18.34,13.06,15.66,46.24,65.32,12.14,23.85,10.01,8.7,19.25,28.27,33.4,65.2,26.58,41.19,11.84,44.52,14.94,47.27,23.34,9.8005,61.09,23.76,13.48,8.455,12.01,16.69,13.68,11.25,74.66,40.01,24.13,,55.9,26.53,29.8,10.23,10.84,34.75,10.69,26.32,28.04,47.07,,24.9,97.03,8.91,46.69,69.46,24.19,20.55,19.28,8.85,,,42.22,10.17,7.875,12.66,80.98,16.11,11.25,77.02,17.916,36.86,10.88,22.4,35.5203,24.72,35.52,20.6,53.32,37.5251,,34.08,,60.55,2.22,39.15,32.78,17.91,24.82,11.36,25.95,128.41,,103.93,7.51,25.9,7.85,30.73,13.81,11.95,19.63,,3.85,14.17,21.4,15.39,,27.41,10.7,32.7,,6.17,13.42,9.86,4.41,62.2,22.25,19.4733,25.12,5.0787,34.68,20.02,16.55,11.88,11.22,9.22,83.83,38.57,36.01,22.09,7.99,44.7,28.91,13.61,19.62,32.03,22.68,15.67,16.75,16.5,22.265,23.5,53.54,212.6,14.67,10.6001,14.5,27.01,15.38,27.79,31.17,10.01,14.2273,16.65,26.46,20.24,21.05,15.51
2014/10/10,9.3243,25.8455,,17.03,47.28,16.17,18.35,19.075,18.71,18.23,36.9,36.67,109.02,63.11,12.15,26.89,10.74,44.9,5.6,24.18,30.78,22,112.75,60.18,8.65,22.34,39.24,3.16,22.44,137.39,21.305,43.45,69.9,37.32,100.73,19.83,32.19,42.281,,24.091,20.59,90.06,34.78,13.02,4,55.02,294.25,24.06,72.66,21.08,,54.6436,52.01,23.775,24.66,62.86,6.33,6.02,45.85,13.1455,,30.07,10.75,18.93,37.77,39.94,15.75,12.882,8.1,5.54,65.2,11.592,7.2,9.47,89.34,37.48,18.39,13.2,15.66,46.01,65.36,11.98,23.62,9.35,8.8,18.79,28.43,33.86,64.62,25.9,40.64,11.73,44.82,14.77,46.97,23.6067,9.98,61.14,23.59,13.8,8.33,12.04,16.64,13.43,10.8458,75.59,40.57,24.2,19.25,55.615,26,29.01,10.16,11.01,35.45,10.76,26.37,28.02,47.48,,24.61,95.86,8.87,46.75,68.56,23.34,20.51,19.61,8.83,11.1101,19.057,42.21,10.49,7.89,12.65,81.605,16.25,11.25,78.59,17.8296,35.9,10.11,22.44,35.4809,24.53,35.82,20.43,52.62,37.5683,12.5,34.08,6.055,59.71,2.23,39.34,33.08,17.85,24.29,11.21,25.905,128.9,,103.62,7.425,25.69,7.6,29.94,13.81,11.82,19.61,,3.8,14.25,,15.61,,26.84,10.75,32.25,15.57,,13.27,9.65,4.37,61.94,22.2499,19.5067,,5.01,36.68,20,16.64,11.69,11.19,9.47,81,38.35,35.75,22.28,7.87,42.54,28.33,13.77,19.43,31.72,22.63,16.09,16.8,16.59,22.05,23.3101,53.16,211.49,14.96,10.628,14.6,27.04,15.34,27.74,31,10,,16.75,26.51,20.18,21,15.41
2014/10/13,,26.9182,,17.19,47.35,16.26,18.48,19.27,18.42,18.48,37.81,36.85,105.09,62.15,11.8,26.96,10.57,44.92,5.53,24.1,28.58,22.99,114.15,58.22,8.93,22.9,40.46,3.21,23.31,133.56,21.735,43.1,70.91,37.58,99.81,18.915,30.54,42.9256,21.95,24.7002,21.17,90.41,34.84,13.01,3.8436,55.8,303.66,,71.95,19.96,,52.7468,52.91,24,25.64,64.15,6.45,5.92,45.93,12.9638,,30.61,10.91,18.41,38.31,40.6,15.77,12.56,8.064,5.455,63.48,11.8283,7.16,9.63,88.03,38.62,17.925,13.23,16.01,46.79,65.45,11.92,23.99,9.2,9.02,18.58,29.11,33.48,63.445,25.52,40.12,11.67,45.03,14.69,43.185,24.5333,9.8,60.9,23.85,14.24,7.72,12.18,16.99,14.02,,77.22,42.99,24.28,19.4,54.77,26.175,28.355,10.48,11.01,35.4,10.86,26.75,28.04,47.25,,24.39,94.63,8.88,46.41,67.44,22.93,20.81,19.98,8.85,,,42.96,9.93,7.89,12.78,79.01,16.81,11.5,80.55,17.294,35.2,10.24,22.51,35.8609,24.73,35.06,20.47,51.64,37.456,,35.37,6.028,60.73,2.07,39.59,33.82,18.36,24.43,11.26,26.18,126.97,,103.02,7.28,25.86,7.5,31.7,13.93,11.97,19.83,,3.775,14.57,,15.75,,25.46,,32.08,15.7,6.09,13.3,9.43,4.43,61.9,21.44,19.9867,,5,36.4,21.07,17.23,11.69,11.26,9.26,76.34,38.21,36.395,22.39,7.71,41.25,26.74,14.15,19.245,33.24,23.5,16.87,17.18,17.1,22.515,23.05,54.12,217.01,15.48,10.6,15.15,27.75,15.52,28.27,31.54,10.37,14.0909,16.482,26.92,20.45,,15.68
2014/10/14,9.3424,26.9909,,17.54,47.87,16.49,18.92,19.16,18.21,18.88,39.68,36.72,109.18,61.44,11.85,27.5,10.5,45.26,5.32,24.34,31.51,22.99,114.95,60.88,9.11,23.72,41.1,3.1495,23.25,132.2,22.04,43.46,72.05,38.48,98.75,19.335,31.38,43.0496,22.1,24.624,21.58,92.71,35.67,12.98,3.88,57.43,315.99,,72.64,19.76,,53.3912,55.08,24.255,25.99,64.71,6.5,5.92,46.46,13.0909,8.9,30.87,11,18.97,39.29,42.2,15.73,12.29,7.799,5.42,63.52,11.9193,7.22,10.02,87.77,39.33,18.19,13.26,16.72,47.41,65.51,11.97,24.38,9.3,9.24,18.93,29.63,33.4,65.58,25.73,41.05,12.01,44.01,14.6657,42.73,24.9467,9.94,61.02,24.11,14.83,7.7,12.34,17.23,14.65,,79.67,44.02,24.58,19.35,55.57,25.98,28.42,10.6,11.05,35.56,10.9,26.92,28.06,48.21,,24.78,93.96,9.05,46.59,67.74,23.055,21.21,20.07,8.75,11.6,19.04,43.66,10.49,7.8,12.87,79.85,17.17,11.48,82.55,17.4357,36.56,10.36,22.7,35.8806,25.14,35.65,20.95,51.47,37.4474,,35.71,6,61.24,1.9,39.53,34.74,18.32,25.25,11.36,26.29,126.25,,108.19,7.255,25.8,7.45,32.61,14.14,12.13,20,,3.77,14.7,,15.6,,25.68,10.75,32.28,15.64,6.181,13.01,9.95,4.48,60.8,,20.5267,,4.9281,36.93,21.57,17.36,11.65,11.28,9.17,74.75,39.22,36.79,22.36,7.747,41.1,27.29,14.19,19.245,33.95,23.92,17.24,17.19,17.76,23.08,23.04,54.38,219.19,15.85,10.6,15.29,28.36,15.7,28.65,31.89,10.53,14.2273,16.24,27.21,20.74,21.0999,15.88
